CARDNUMBER,PIN,BALANCE,PASSPORTID,PINFL,CARDEXPIRYDATE,PHONENUMBER,STATUS
8600751512096319,2068,1000000.0 UZS,CD9836174,29912037944011,02/2029,+998919024490,USABLE
8600636939298475,2437,21658.0UZS,CD8832454,29912023960820,06/2026,+998943162371,BLOCKED
8600682256378839,0975,8380756 UZS,GH8978115,30505019021099,06/2026,+998902031290,USABLE
8600716215884527,7420,4385680 UZS,AB4633271,30101071383599,06/2027,+998918992976,BLOCKED
8600242129959891,4694,4826784 UZS,IJ2017744,29912068459930,04/2026,+998905542900,BLOCKED
8600120098182218,2177,2923383 UZS,AB1608539,30505084946497,04/2025,+998918001492,USABLE
8600181886170690,3030,8544822 UZS,GH1605680,29912078159394,02/2029,+998931653041,BLOCKED
8600972337657594,0597,8522422 UZS,IJ9434944,30070148604497,06/2025,+998949700054,USABLE
8600551480319911,6338,5391322 UZS,CD2948811,30101058325176,07/2025,+998916588435,USABLE
8600553941278892,8015,8825578 UZS,AB1645014,30101069130255,04/2027,+998933765417,USABLE
8600565874869679,9865,6733867 UZS,EF5984013,29912023440545,10/2028,+998957421463,USABLE
8600147690383886,9125,8365485 UZS,CD4914923,30505028786020,08/2026,+998948736668,BLOCKED
8600538131248557,9325,6115190 UZS,AB3352914,29912079752223,01/2025,+998931472715,USABLE
8600489211127388,8769,9716244 UZS,AB9281255,29912039088189,02/2029,+998942248739,BLOCKED
8600207345693954,7629,4699093 UZS,CD2683351,30070160656979,04/2027,+998906002673,BLOCKED
8600620785793037,3239,1164139 UZS,AB6757101,30505012170632,08/2026,+998918269007,BLOCKED
8600858953421888,6713,3714864 UZS,IJ3455362,29912012358938,04/2030,+998936367791,BLOCKED
8600928588333319,6344,9667047 UZS,IJ6703432,30070109673660,12/2030,+998916462865,USABLE
8600322519011519,1230,6030122 UZS,CD0086010,29912024304759,05/2025,+998949881599,BLOCKED
8600832533284892,5304,4009385 UZS,CD7486139,30101069725342,01/2025,+998906433223,BLOCKED
8600169060583614,7401,8571727 UZS,AB5436115,30070149654687,05/2025,+998937971227,BLOCKED
8600310762156032,4597,3487926 UZS,IJ2596611,30101095536153,09/2026,+998931307888,BLOCKED
8600242308846711,4059,5710036 UZS,GH0331144,30505094778069,05/2026,+998914420867,USABLE
8600651467904931,9301,7692138 UZS,IJ3322122,30101041254358,11/2026,+998910622048,USABLE
8600898094727926,4134,1007566 UZS,GH4035611,30505021056538,06/2029,+998919389162,USABLE
8600616743026205,2850,1295055 UZS,EF4148586,30070150439028,09/2025,+998949660343,USABLE
8600132451862245,8805,6022849 UZS,IJ8178085,30505047343062,08/2027,+998948211035,USABLE
8600408371932056,0675,3104766 UZS,IJ0056742,30505097514316,01/2025,+998938514930,USABLE
8600272168457408,3386,9223627 UZS,AB3032572,30101012783674,09/2029,+998903271458,BLOCKED
8600745808331836,6556,5382775 UZS,CD4277574,30101040155979,01/2029,+998951640675,USABLE
8600285623504911,2848,7434147 UZS,GH7049604,30505057057983,08/2028,+998906394807,USABLE
8600303844496203,4216,9269112 UZS,AB9935913,30070186289201,05/2028,+998949711886,BLOCKED
8600638844338859,5012,7316916 UZS,GH5568927,30070182717983,08/2027,+998936861442,USABLE
8600963388652378,4790,3381586 UZS,GH6375670,29912067927092,11/2026,+998946071344,BLOCKED
8600638889055368,5720,2679900 UZS,AB3325202,30070140343696,07/2025,+998937309909,BLOCKED
8600947493323967,8405,6757614 UZS,GH3101757,30505097700655,06/2026,+998916378835,USABLE
8600372004709101,3096,2703478 UZS,EF3323363,30101000919651,12/2030,+998912433894,USABLE
8600494168283416,6424,5017772 UZS,AB4119325,30070112572562,02/2029,+998908970057,BLOCKED
8600604544560820,6922,3966125 UZS,CD7333455,30505010118197,03/2027,+998934283553,USABLE
8600589993777712,6210,4908350 UZS,IJ5968339,30101035410153,10/2028,+998938710690,USABLE
8600369773766080,9523,7466542 UZS,AB5504221,30505016565741,11/2026,+998945569033,BLOCKED
8600586429999522,9213,9851384 UZS,CD3703567,30101067080993,05/2030,+998959412988,BLOCKED
8600191032305876,2884,6213164 UZS,AB8063486,29912050408055,07/2028,+998912210551,BLOCKED
8600136580077815,7567,2638136 UZS,AB6572875,30070111048073,08/2025,+998940865885,USABLE
8600909970694211,2841,1858452 UZS,CD8823031,29912023158958,09/2028,+998955634133,USABLE
8600814486189526,9654,7243384 UZS,GH7503906,30505059831973,07/2029,+998956075314,BLOCKED
8600911720349344,0903,9208121 UZS,IJ0804234,30101071783263,09/2025,+998915246515,USABLE
8600679389101138,1106,5380266 UZS,AB8919398,30505021995428,02/2027,+998914697588,USABLE
8600052095540330,6770,8172106 UZS,GH7553880,30101086161541,05/2027,+998956776301,BLOCKED
8600516985894510,0396,3380982 UZS,AB5431571,30505043880966,11/2029,+998901444081,USABLE
8600528386448812,8404,5736588 UZS,GH4413223,29912005514179,08/2026,+998955834959,BLOCKED
8600214376994848,9176,4558919 UZS,EF9120792,29912038168123,10/2025,+998931965385,BLOCKED
8600681028510661,4352,5004332 UZS,AB8097857,30101049623245,06/2027,+998959069946,USABLE
8600954201714479,2403,7692748 UZS,AB6201380,30101000508860,04/2026,+998942146957,BLOCKED
8600477295119082,3713,9353600 UZS,CD4190904,30505058085084,08/2028,+998944932266,BLOCKED
8600544166008601,9678,7001643 UZS,GH3677547,29912088665580,04/2027,+998939382209,USABLE
8600556843092626,7235,8431547 UZS,IJ7436107,30070194028837,01/2029,+998939153290,BLOCKED
8600561918248533,0369,4184477 UZS,AB3778207,30101041987123,02/2029,+998937267635,USABLE
8600212114035759,4153,7247829 UZS,EF3095093,30505005220225,02/2027,+998911672438,BLOCKED
8600568004323617,7884,1366365 UZS,GH0538506,30070132605706,02/2028,+998958959266,USABLE
8600247318682998,0311,1622261 UZS,AB2295232,30505093296500,09/2025,+998950844133,BLOCKED
8600183312265854,0197,4490615 UZS,EF7648689,30101002249568,08/2025,+998941818635,BLOCKED
8600074386510277,6110,5227013 UZS,GH6528097,30101046418132,07/2028,+998937999427,USABLE
8600272778854143,6581,7455950 UZS,IJ3547155,30070134526249,08/2030,+998936939932,USABLE
8600558672574625,9364,7738670 UZS,IJ0510335,30101094324386,11/2028,+998916333778,BLOCKED
8600782022073936,5180,1111696 UZS,CD8400356,29912059505314,11/2025,+998939888621,USABLE
8600768045693073,1851,3164835 UZS,GH5384943,30070127598751,05/2025,+998915158794,BLOCKED
8600573578163993,6950,2044748 UZS,AB8674133,30505052524768,03/2030,+998915328407,BLOCKED
8600744336913124,0805,6359717 UZS,GH1435180,29912047887375,05/2030,+998941149498,USABLE
8600052392470009,7611,6874808 UZS,CD0841307,30505082259568,10/2026,+998938691065,USABLE
